"","full_id","day","mouse","Measure","Value","ParameterGroup"
"1","0days_Mouse_ID1","0days","ID1","FLBR_RATIO",0.169230769230769,"SynchrCycle_downPersp"
"2","0days_Mouse_ID2","0days","ID2","FLBR_RATIO",0.298245614035088,"SynchrCycle_downPersp"
"3","0days_Mouse_ID3","0days","ID3","FLBR_RATIO",0.226415094339623,"SynchrCycle_downPersp"
"4","0days_Mouse_ID4","0days","ID4","FLBR_RATIO",0.195652173913043,"SynchrCycle_downPersp"
"5","0days_Mouse_ID5","0days","ID5","FLBR_RATIO",0.104166666666667,"SynchrCycle_downPersp"
"6","0days_Mouse_ID6","0days","ID6","FLBR_RATIO",0.190789473684211,"SynchrCycle_downPersp"
"7","3days_Mouse_ID1","3days","ID1","FLBR_RATIO",0.331632653061224,"SynchrCycle_downPersp"
"8","3days_Mouse_ID2","3days","ID2","FLBR_RATIO",0.211267605633803,"SynchrCycle_downPersp"
"9","3days_Mouse_ID3","3days","ID3","FLBR_RATIO",0.186567164179104,"SynchrCycle_downPersp"
"10","3days_Mouse_ID4","3days","ID4","FLBR_RATIO",0.4,"SynchrCycle_downPersp"
"11","3days_Mouse_ID5","3days","ID5","FLBR_RATIO",0.165644171779141,"SynchrCycle_downPersp"
"12","0days_Mouse_ID1","0days","ID1","FRBL_RATIO",0.169230769230769,"SynchrCycle_downPersp"
"13","0days_Mouse_ID2","0days","ID2","FRBL_RATIO",0.309941520467836,"SynchrCycle_downPersp"
"14","0days_Mouse_ID3","0days","ID3","FRBL_RATIO",0.270440251572327,"SynchrCycle_downPersp"
"15","0days_Mouse_ID4","0days","ID4","FRBL_RATIO",0.144927536231884,"SynchrCycle_downPersp"
"16","0days_Mouse_ID5","0days","ID5","FRBL_RATIO",0.0625,"SynchrCycle_downPersp"
"17","0days_Mouse_ID6","0days","ID6","FRBL_RATIO",0.223684210526316,"SynchrCycle_downPersp"
"18","3days_Mouse_ID1","3days","ID1","FRBL_RATIO",0.489795918367347,"SynchrCycle_downPersp"
"19","3days_Mouse_ID2","3days","ID2","FRBL_RATIO",0.267605633802817,"SynchrCycle_downPersp"
"20","3days_Mouse_ID3","3days","ID3","FRBL_RATIO",0.17910447761194,"SynchrCycle_downPersp"
"21","3days_Mouse_ID4","3days","ID4","FRBL_RATIO",0.487179487179487,"SynchrCycle_downPersp"
"22","3days_Mouse_ID5","3days","ID5","FRBL_RATIO",0.325153374233129,"SynchrCycle_downPersp"
"23","0days_Mouse_ID1","0days","ID1","avg_duration",0.283333333333333,"SynchrCycle_downPersp"
"24","0days_Mouse_ID2","0days","ID2","avg_duration",0.475,"SynchrCycle_downPersp"
"25","0days_Mouse_ID3","0days","ID3","avg_duration",1.15,"SynchrCycle_downPersp"
"26","0days_Mouse_ID4","0days","ID4","avg_duration",0.266666666666667,"SynchrCycle_downPersp"
"27","0days_Mouse_ID5","0days","ID5","avg_duration",0.258333333333333,"SynchrCycle_downPersp"
"28","0days_Mouse_ID6","0days","ID6","avg_duration",0.275,"SynchrCycle_downPersp"
"29","3days_Mouse_ID1","3days","ID1","avg_duration",0.616666666666667,"SynchrCycle_downPersp"
"30","3days_Mouse_ID2","3days","ID2","avg_duration",0.333333333333333,"SynchrCycle_downPersp"
"31","3days_Mouse_ID3","3days","ID3","avg_duration",0.3,"SynchrCycle_downPersp"
"32","3days_Mouse_ID4","3days","ID4","avg_duration",0.6,"SynchrCycle_downPersp"
"33","3days_Mouse_ID5","3days","ID5","avg_duration",0.65,"SynchrCycle_downPersp"
"34","0days_Mouse_ID1","0days","ID1","duration_sd_diff",0.0793089904511875,"SynchrCycle_downPersp"
"35","0days_Mouse_ID2","0days","ID2","duration_sd_diff",0.121709140555658,"SynchrCycle_downPersp"
"36","0days_Mouse_ID3","0days","ID3","duration_sd_diff",0.370677482098831,"SynchrCycle_downPersp"
"37","0days_Mouse_ID4","0days","ID4","duration_sd_diff",0.0806904130671219,"SynchrCycle_downPersp"
"38","0days_Mouse_ID5","0days","ID5","duration_sd_diff",0.075437917528963,"SynchrCycle_downPersp"
"39","0days_Mouse_ID6","0days","ID6","duration_sd_diff",0.0782895083176122,"SynchrCycle_downPersp"
"40","3days_Mouse_ID1","3days","ID1","duration_sd_diff",0.149196336462712,"SynchrCycle_downPersp"
