"","day","Measure","ParameterGroup","Mean","median","sd","sem"
"1","0days","avg_Angle__left__back__hip_ankle_toe","angles_horizontal_sidePersp",124.274373005944,126.371400574998,11.2218208694474,4.58128918584359
"2","0days","avg_Angle__left__back__iliac_hip_ankle","angles_horizontal_sidePersp",144.822470819613,142.338253410054,9.17263436396031,3.74471229813688
"3","0days","avg_Angle__left__front__ellbow_wrist_toetip","angles_horizontal_sidePersp",145.663840561276,147.296148487131,4.71492349087299,1.92485945481681
"4","0days","avg_Angle__left__front__shoulder_ellbow_wrist","angles_horizontal_sidePersp",122.420380699525,122.89198132973,6.06486529732783,2.4759708895277
"5","0days","avg_Angle__right__back__hip_ankle_toe","angles_horizontal_sidePersp",118.279231944997,116.308554151275,11.2217760659833,4.58127089490598
"6","0days","avg_Angle__right__back__iliac_hip_ankle","angles_horizontal_sidePersp",144.175826389807,144.337027116234,3.66004965601877,1.49420901508251
"7","0days","avg_Angle__right__front__ellbow_wrist_toetip","angles_horizontal_sidePersp",140.804922572044,140.686120222835,2.73311898555027,1.11579115348522
"8","0days","avg_Angle__right__front__shoulder_ellbow_wrist","angles_horizontal_sidePersp",127.603238083684,127.940067238998,7.07186681913819,2.88707753930128
"9","0days","avg_duration","SynchrCycle_downPersp",0.451388888888889,0.279166666666667,0.351955515918113,0.143685237692897
"10","0days","avg_stance_time","SynchrCycle_downPersp",0.155555555555556,0.1375,0.0340206908719886,0.0138888888888889
"11","0days","avg_stride_length","SynchrCycle_downPersp",3.87842455371579,3.5738228577117,1.69636147885475,0.692536673751204
"12","0days","avg_swing_time","SynchrCycle_downPersp",0.119444444444444,0.125,0.0155158222708544,0.00633430791721743
"13","0days","duration_sd_diff","SynchrCycle_downPersp",0.134352242003229,0.0799997017591547,0.117074972802226,0.0477956575026122
"14","0days","FLBR_RATIO","SynchrCycle_downPersp",0.197416631978233,0.193220823798627,0.064100586379052,0.0261689548069792
"15","0days","FRBL_RATIO","SynchrCycle_downPersp",0.196787381338189,0.196457489878543,0.0899265868453046,0.0367123753468457
"16","0days","l-back-ankle__Average_Height","VerticalHeight_Analysis_sidePersp",0.177716155719827,0,0.628975531320005,0.256778185404992
"17","0days","l-back-ankle__Movement","VerticalHeight_Analysis_sidePersp",0.497143374956263,0,1.40302262657204,0.572781588780152
"18","0days","l-back-toe__Average_Height","VerticalHeight_Analysis_sidePersp",-0.0645417434144569,0,0.192143520642997,0.0784422638262113
"19","0days","l-back-toe__Movement","VerticalHeight_Analysis_sidePersp",0.0804223833274324,0,0.365796108501477,0.149335635954062
"20","0days","l-elbow__Average_Height","VerticalHeight_Analysis_sidePersp",0.0566101538297632,0,0.296243067798033,0.132483927491896
"21","0days","l-elbow__Movement","VerticalHeight_Analysis_sidePersp",0.188422012962722,0,0.746684113108217,0.333927286925823
"22","0days","l-front-toe-tip__Average_Height","VerticalHeight_Analysis_sidePersp",-0.00786535741947382,0,0.122014429701389,0.0498121823375154
"23","0days","l-front-toe-tip__Movement","VerticalHeight_Analysis_sidePersp",0.0880764247331557,0,0.515857654800133,0.210598005694852
"24","0days","l-head__Average_Height","VerticalHeight_Analysis_sidePersp",0.236401476083284,0,0.901420750662477,0.403127614962037
"25","0days","l-head__Movement","VerticalHeight_Analysis_sidePersp",0.135618268664599,0,2.61512338962602,1.16951873375069
"26","0days","l-hip__Average_Height","VerticalHeight_Analysis_sidePersp",0.0541038510395886,0,0.310196317152517,0.138724010304623
"27","0days","l-hip__Movement","VerticalHeight_Analysis_sidePersp",0.543070844635012,0,1.2432957637463,0.55601876877485
"28","0days","l-iliac-crest__Average_Height","VerticalHeight_Analysis_sidePersp",0.0338963702612321,0,0.135631558029375,0.0553713516984428
"29","0days","l-iliac-crest__Movement","VerticalHeight_Analysis_sidePersp",0.139306624233575,0,0.479931324355792,0.19593114270831
"30","0days","l-shoulder__Average_Height","VerticalHeight_Analysis_sidePersp",0.0722441989578261,0,0.316459744239552,0.129194149586428
"31","0days","l-shoulder__Movement","VerticalHeight_Analysis_sidePersp",0.245018524411083,0,0.719113029762671,0.293576665050899
"32","0days","l-tail-base__Average_Height","VerticalHeight_Analysis_sidePersp",0.0960271781509579,0,0.556620204257067,0.227239246825594
"33","0days","l-tail-base__Movement","VerticalHeight_Analysis_sidePersp",0.302973933755678,0,1.56461226969548,0.638750284341964
"34","0days","l-wrist__Average_Height","VerticalHeight_Analysis_sidePersp",-0.0584404946239201,0,0.403340035360417,0.164662879911524
"35","0days","l-wrist__Movement","VerticalHeight_Analysis_sidePersp",-0.0320356281832571,0,0.530804335653109,0.216699962601188
"36","0days","LB__avg_Angle","Angles_downPersp",49.4514134192856,48.8613874018559,1.97178058494765,0.804976052974715
"37","0days","LB__max_Angle","Angles_downPersp",82.2918712172186,81.1077612599718,2.96108969243168,1.2088598048454
"38","0days","LB__min_Angle","Angles_downPersp",17.7434143543076,17.3592880165714,3.99134180873845,1.62945847007442
